Rank;DokumentType;Titel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Lovforslag som vedtaget;Forslag til Lov om ændring af SU-loven (Forhøjelse af fribeløb og forlængelse af bestemmelser om udvidede SU-lånemuligheder som følge af covid-19);Folketinget;;Uddannelses- og Forskningsmin., j.nr. 2021-252;140;2020;AX025834;202013L00140;Retsinformation;;Fremgår af forskriften;20210223;20210224;20210224;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00140
A;Lovforslag som fremsat;Forslag til Lov om ændring af SU-loven (Forhøjelse af fribeløb og forlængelse af bestemmelser om udvidede SU-lånemuligheder som følge af covid-19);Uddannelses- og Forskningsministeriet;;Uddannelses- og Forskningsmin., j.nr. 2021-252;140;2020;CE001042;202012L00140;Retsinformation;;Fremgår af forskriften;20210120;20210121;20210121;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00140
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af SU-loven (Forhøjelse af fribeløb og forlængelse af bestemmelser om udvidede SU-lånemuligheder som følge af covid-19);Folketinget;;;140;2020;AX025740;202014L00660;Retsinformation;;Fremgår af forskriften;20210202;20210204;20210204;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00660
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (20. januar 2021) - L 140;Uddannelses- og Forskningsministeriet;;Uddannelses- og Forskningsmin., j.nr. 2021-252;L 140;2020;CE001043;20201XX00584;Retsinformation;;Fremgår af forskriften;20210120;20210121;20210121;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00584
A;Lovforslag som vedtaget;Forslag til Lov om rentefrie lån svarende til indberettet A-skat og arbejdsmarkedsbidrag i forbindelse med covid-19;Folketinget;;Skattemin., j.nr. 2020-10952;139 A;2020;AX025685;202013LA0139;Retsinformation;;Fremgår af forskriften;20210126;20210127;20210127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013LA0139
A;Tillægsbetænkning over lovforslag;Tillægsbetænkning over Forslag til lov om ændring af opkrævningsloven (Udskydelse af betalingsfrist for registreringsafgift af motorkøretøjer i  forbindelse med covid-19);Folketinget;;;139 B;2020;AX025747;202015L00666;Retsinformation;;Fremgår af forskriften;20210204;20210206;20210206;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202015L00666
A;Lovforslag som vedtaget;Forslag til Lov om ændring af opkrævningsloven (Udskydelse af betalingsfrist for registreringsafgift af motorkøretøjer i forbindelse med covid-19);Folketinget;;Skattemin., j.nr. 2020-10952;139 B;2020;AX025757;202013LB0139;Retsinformation;;Fremgår af forskriften;20210209;20210210;20210210;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013LB0139
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om ændring af straffeloven, retsplejeloven og udlændingeloven (Udskydelse af solnedgangsklausul);Justitsministeriet;;Justitsmin., j.nr. 2020-731-0071;136;2020;AA012255;202012L00136;Retsinformation;;Fremgår af forskriften;20210113;20210114;20210114;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00136
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om ændring af straffeloven, retsplejeloven og udlændingeloven (Udskydelse af solnedgangsklausul);Folketinget;;Justitsmin., j.nr. 2020-731-0071;136;2020;AX025823;202013L00136;Retsinformation;;Fremgår af forskriften;20210223;20210224;20210224;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00136
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (13. januar 2021) - L 136;Justitsministeriet;;Justitsmin., j.nr. 2020-731-0071;L 136;2020;AA012256;20201XX00545;Retsinformation;;Fremgår af forskriften;20210113;20210114;20210114;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00545
A;Beslutningsforslag som fremsat;Forslag til folketingsbeslutning om ordningen for Den Europæiske Unions egne indtægter;Finansministeriet;;;135;2020;AE002853;20201BB00135;Retsinformation;;Fremgår af forskriften;20210128;20210129;20210129;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201BB00135
